Vote,שיר,מבצע,לינק,
,צילו של יום קיץ,יזהר אשדות,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=517&wrkid=2686,search
,⁠שיר אהבה בדואי,יעל לוי ודיויד ברוזה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=547&wrkid=2942,search
, אהבה שלי היא לא האהבה שלו,יצחק קלפטר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=547&wrkid=925,search
,המגפיים של ברוך,כוורת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=1152,search
,נתתי לה חיי,כוורת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=2348,search
,⁠גוליית,כוורת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=813,search
,היא כל כך יפה ,כוורת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=1059,search
,צל כבד,כשניקו תתחיל לדבר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=568&wrkid=2699,search
,תמיד יחכו לך,לאה שבת,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=575&wrkid=3185,search
,קום והתהלך בארץ,להקת פיקוד צפון,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=586&wrkid=2728,search
,נשל הנחש,מאיר אריאל,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=605&wrkid=2345,search
,לא יכול להוריד ממך את העיניים,מאיר אריאל,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=605&wrkid=1815,search
,וביניהם,מאיר בנאי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=606&wrkid=1308,search
,חלומות אחרים,מאיר בנאי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=606&wrkid=3917,search
,מכה אפורה,מוניקה סקס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=617&wrkid=2143,search
,השמלה ממדריד,מוניקה סקס,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=617&wrkid=28852,search
,מסע ומתן ,מוש בן ארי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1229&wrkid=17373,search
,הנה הוא בא,מוש בן ארי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1229&wrkid=12849,search
,אנצל ,מוש בן ארי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1229&wrkid=17691,search
,יה,מוש בן ארי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1229&wrkid=12495,search
,אהובתי,משינה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=686&wrkid=78,search
,אחכה לך בשדות,משינה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=686&wrkid=142,search
,איך זה שכוכב,מתי כספי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=173,search
,⁠לקחת את ידי,מתי כספי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=2012,search
,⁠מישהו,מתי כספי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=2140,search
,⁠נוח,מתי כספי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=2292,search
,מקום לדאגה,מתי כספי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=2221,search
,לך איתה,נוער שוליים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=107&wrkid=3685,search
,אמסטרדם,נוער שוליים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=712&wrkid=358,search
,⁠נולדתי לשלום,עוזי חיטמן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=778&wrkid=2282,search
,בארץ הזאת,עוזי חיטמן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=778&wrkid=528,search
,ארץ הצבר,עוזי חיטמן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=778&wrkid=462,search
,שאריות של החיים,עידן רייכל,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1333&wrkid=22224,search
,שיר הפרחה,עפרה חזה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=820&wrkid=2982,search
,ניצוצות,פורטיסחרוף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=916&wrkid=2303,search
,הכל מבינה,פורטרט,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=827&wrkid=5777,search
,⁠כשזה עמוק,קורין אלאל,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3049&wrkid=1790,search
,⁠אי שם בלב,קורין אלאל,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=862&wrkid=8862,search
,⁠צליל מכוון,קלפטר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=547&wrkid=2702,search
,לוקח ת'זמן,קלפטר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=547&wrkid=1904,search
,מה עושות האיילות,רביץ ורכטר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2100&wrkid=2062,search
,שוב לא שקט,רוקפור,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=896&wrkid=3497,search
,מכונת הזמן,רוקפור ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=896&wrkid=2145,search
,יום יבוא,רותי נבון,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=898&wrkid=4380,search
,אש,רמי קליינשטין,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=920&wrkid=3976,search
,אור,שושנה דמארי,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=945&wrkid=125,search
,עוד סיפור אחד של אהבה,שימי תבורי,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=955&wrkid=2640,search
,אדם בתוך עצמו,שלום חנוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=960&wrkid=39,search
,נגד הרוח,שלום חנוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=960&wrkid=3391,search
,מחכים למשיח,שלום חנוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=960&wrkid=2091,search
,לילה,שלום חנוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=960&wrkid=1945,search
,לא עוזב את העיר,שלמה ארצי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=1835,search
,ארץ חדשה,שלמה ארצי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=464,search
,תחת שמי ים התיכון,שלמה ארצי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=3168,search
,נואיבה,שלמה גרוניך ,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17920&wrkid=40675,search
,ימים לבנים ,שלמה ידוב,https://mshironet.mako.co.il/artist?type=lyrics&lang=1&prfid=332&wrkid=1604,search
,כאלו המילים,תומר יוסף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2749&wrkid=32025,search
,עברתי רק כדי לראות,תומר יוסף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=10335&wrkid=3320,search
,אני רוצה לזוז,תומר יוסף,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2749&wrkid=22835,search
,סוף עונת התפוזים,תמוז,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6262&wrkid=2374,search
,יש לך אותי,,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=308&wrkid=59702,search
,גורל אחד,עפרה חזה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=820&wrkid=816,search
,פרי גנך,אביבה אבידן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=35&wrkid=2659,search
,דרך ארוכה,גלי עטרי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=268&wrkid=910,search
,חורף שנת 73,להקת חיל חינוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=583&wrkid=1427,search
,הרדופים,שלמה ארצי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=1236,search
